	eng	kor
12	Can replace me	대체 할 수 없어
13	Someone like that doesn’t exist, because	어디 없어 왜냐면
14	I choose my own path, baby	내 길 내가 결정해 baby
15	I don’t want to follow	가고 싶진 않아
16	Other people too far	남 따라 저 멀리
17	I want to live trying everything I can do	할 수 있는 모든 건 다 해보면서 살래
18	Just be who I am	just 나답게
19	Who would make it if not me	나 아님 누가 make it
20	Tomorrow is unknown	내일을 알 순 없어
21	No wait, I’m choosing my path now	No wait 내 길 now 선택해
22	I’ll make every day	매일을 전부 make it
23	The super duper lucky that came to me	내게 온 super duper lucky
24	Lucky	(lucky~)
25	Get ready, I’m ready	Get ready 준비 됐어.
26	I’ll show you my everything	보여 줄 내 전부를
33	Sing a song, na na na na	Sing a song 나나나나
34	Someone be happy	누군가 be happy
35	Like that bright sun	눈부신 저 태양처럼
36	I’ll become your light	네게 빛이 될게
37	It seems like you’ll fail but you succeed	안되다가도 돼
38	It seems like you’ll succeed but you fail	되다가도 fail
39	Don’t mind it too much, what does it matter	신경쓰지 마 좀 뭐 어때
40	I’ll be by your side	곁에 있을게
41	I’ll sing a song for you	너 위한 노랠 부를게
42	You can trust me and follow me	날 믿고 따라 와도 돼
43	The future is unknown	미래를 알 순 없어
44	No way, I’m choosing my path now	No way 내 길 now 선택해
45	I’ll make everything I have	내 모두를 전부 make it
48	Get ready, I’m ready	Get ready 준비 됐어
61	Sing along to my song, baby	내 노래 따라 불러줘 baby
62	Super lucky	super lucky
63	This moment is the best	최고의 이순간을
65	There is no place where it can’t be heard	안 들리는 데가 없어
66	Believe me, get a chance	믿어 get a chance
67	Who is lucky if not us	우리 아님 누가 lucky
72	Who would shine if not us	우리 아님 누가 lucky
0	White night is beautiful but	하얀 밤 아름답지만
1	It’s even colder tonight	더 차가운 밤 오늘
2	Match my gaze one more time	한 번만 다시 눈 맞춰줘 나를
3	A bit more	좀 더
4	My heart that was turning blue	푸르게 번져가던 맘이 어느새
5	Became a wilted scent	시들어버린 향기가 된 채
6	There’s no response when I call your name	불러도 대답 없는 네 이름이
7	It rings out like an echo	메아리처럼 울려
8	You are my blue	넌 나의 Blue
9	As if it was always like this	늘 그랬듯이
11	Fills me with longing	그리움만 가득 채워
12	It’s beautiful even when it spreads	번져도 아름다워
13	The word ‘love’	사랑이라는 말
14	That word that resembles you	너를 닮은 그 말
15	My day remains the same	여전해 나의 하루는
16	A maze filled with you	너로 가득한 미로
17	As I get one step farther	한 걸음씩 멀어지면 더
18	My sighs get exceptionally deeper	유난히 깊어지는 한숨
19	Between the breaths that passes slowly	느리게 흘러가는 숨 사이로
20	I feel like you will be there	네가 있을 것 같아
29	That word that can’t be reached	닿지 못할 그 말
30	Warmth that can’t be forgotten	잊을 수가 없는 온기
31	Should I cry at the	따스하던
32	Warm memories?	그 기억에 울까
33	I’m still afraid	난 아직도 겁나
34	Pretending to be okay	애써 괜찮은 척
35	I can’t do this	안 되잖아
36	I’m still afraid	난 여전히 겁나
37	You are my blue	넌 나만의 Blue
40	You’re my blue	넌 나의 Blue
46	Heart that has passed by	지나간 마음이란 건
47	Can’t be caught	잡을 수 없어
0	The four seasons come and go	사계절이 와, 그리고 또 떠나
1	I gave you my winter, I gave you my summer	내 겨울을 주고 또 여름도 주었던
2	You were my whole world but I’m letting you go	온 세상이던 널 보낼래
3	Did I really love you?	정말 너를 사랑했을까?
4	When was it? Was it spring?	언제야, 봄이던가
5	Yes, back then we were like	맞아 그땐 한참 서로가
6	Shakespeare’s lovers	셰익스피어의 연극 같은
7	As if we were each other’s last	마지막이 될 사랑 마주한 듯
8	We could only see each other	둘밖에 안 보였나 봐
9	But now I wanna see something else	다른 걸 좀 보고파
11	Only you were my everything	너만이 전부라
12	So I gave you my winter and my summer	내 겨울을 주고 또 여름도 주었지
13	In those hot and cold seasons	뜨겁고 차갑던 그 계절에
15	Did I love you?	내가 너를 사랑했을까?
16	We longed for each other	서로를 그리워했고
17	We got sick of each other	서로를 지겨워하지
18	All of those long days and nights	그 긴 낮과 밤들이
19	Before they wear out and rust	낡아 녹슬기 전에
20	Let’s shine once again	우리 다시 반짝이자
21	Since the season is changing again	또 계절이 바뀌잖아
28	You can go, when you look back, I won’t be there	가도 돼, 뒤돌아볼 때쯤엔 난 없어
29	We were quite alright	우리, 꽤 괜찮았어
30	That’s good enough, when we leave	그거면 된 거야 떠날 때
0	I was only used to receiving love	받기만 했던 사랑 익숙해서
1	That was so natural to me	그때 나 너무 당연해서
2	So I didn’t know it was love	사랑인 줄 몰랐어
3	I acted like a fool	나 바보같이 굴었어
4	This breakup only left behind smiles and it hurts	미소만 남긴 이별이 아파서
5	So I can’t get over you easily	쉽게 널 잊을 수가 없어
6	Days without you	네가 없는 하루가
7	Are so hard	난 이렇게도 힘든데
8	I know it’s stupid to regret	후회만 하는 것도 멍청하다는 걸 알았어
9	So I wrote these words I want to say if I go back	그래서 돌아가면 하고픈 말들을 적었어
10	You’re still here, tears are falling	넌 여전히 여기 있나 봐 눈물이 나는데
12	I keep getting scared, I keep regretting	자꾸 겁이 나 자꾸 후회가 돼
13	I want to forget all the painful memories	아픈 기억들을 모두 잊고 싶어
15	Don’t cry, don’t be in pain	이젠 울지 마 이젠 아프지 마
16	I want to turn it back like it never happened, miss you	없었던 일처럼 되돌리고만 싶어 miss you
17	I was afraid	난 두려워
18	So I told you not to go	겁이 나 가지 마라 말했지만
19	But what if you cry like that day?	또 그날처럼 네가 울어버릴까 봐
20	Tears dripping on your cheeks	뺨 위에 툭툭
21	So I said words I didn’t even mean	맘에도 없는 말 툭툭
22	I thought you’d always be by my side back the	그땐 늘 곁에 있을 줄 알았는데
23	I regret my past immature days	철없던 지난 시간이 난 너무 후회가 돼
24	Don’t hate me too much	날 너무 미워하지 마
25	Don’t push me away	아니 그냥 밀어내지 마
26	But then don’t forgive me	그렇다고 나를 용서할 생각도 하지 마
34	I close my eyes but I keep thinking about you	눈을 감아봐도 자꾸만 떠올라
35	I’m afraid of being forgotten by you	너에게 잊혀지는 게 난 두려워서
36	Sorry I can only say sorry	미안하다는 말밖에 할 수 없어서 미안해
37	But I only have you in me	그래도 너 하나밖에 안 남았어 내 안에
38	I know my wish will never come true	끝내 이루어지지 않는 나의 바람은
41	I want to forget all the painful memories	[진호/후이] 아픈 기억들을 모두 잊고 싶어
42	I miss you	[진호/후이] I miss you
45	I’m afraid	난 두려워
0	Why did I meet you now?	왜 이제 와 널 만났을까
1	Should I be thankful that I at least met you now?	이제라도 만나 다행이라 말할까
2	I don’t even have any expectations	난 기대라는 미련조차
3	Just hoping this hell-like day would pass	부디 이 지옥 같은 하루가
4	Without looking at myself	날 보지 못 한 채로
5	That’s all I wanted	지나가길 바라는 게 다였죠
6	But after I met you	널 만나고 난 내일을
7	I waited for tomorrow and had hope	기다리고 기대하죠
8	If we had met in a more beautiful place	더 아름다운 곳에서 우리가 만났다면
9	It would’ve been nice, we would’ve loved more	좋았을 걸 더 사랑했을 걸
10	Just looking at you and smiling by your side	그저 곁에서 바라보고 웃고
11	And lending you my shoulders	내 어깰 빌려주는 것
12	Is all I can do, I have nothing else I can do	말곤 해줄 수 있는 것도 난 없는 걸
13	It would’ve been nice	좋았을 걸
14	It would’ve been so nice	참 좋았을 걸
15	I’m afraid that there’ll be a day	혹시 내가 널 혼자 두고
16	When I have to leave you alone and go	떠나가야 하는 날이 올까 두려워
17	You can leave me any time	넌 언제든 떠나가도 돼 나를
18	If you’re going to a place that fits your smile	너의 그 미소와 어울리는 곳이라면
19	Even if you forget the memories of me	나와의 기억들을 잊고 산대도
20	I’m alright, just tell me that you were happy	난 괜찮아 그저 행복했었다고 말해줘
25	Is all I can do	말곤 해줄 수 있는 것도 난
26	Even though I feel like there’s no one I can trust in this world	참 세상에
27	When I look at you	믿을 사람 하나 없다고 느껴지다가도
28	Feels like the world is not a bad place at all	널 보고 있으면 참 살만한 세상 같애
29	Also, I fall asleep	난 또 있잖아
30	With the hopes of a better tomorrow	더 나은 내일을 기대하며 잠들곤 해
0	Is that star looking at me too?	혹시 저 별도 나를 보고 있을까
1	Won’t it be looking at me?	아니 날 보고 있지 않을까
2	Is that star looking at me too?	저 별도 나를 보고 있을까
3	At me?	아니 날
4	Isn’t it looking for me right now?	지금 날 찾고 있진 않을까
5	Or is it avoiding me?	아니 날 피해 가고 있을까
7	You’re fainter today	오늘따라 넌 더 희미해
8	So this night is meaningless to me	그래서 이 밤은 내겐 무의미해
9	Even if the dark night passes and morning comes	어두운 밤이 지나 아침이 온대도
10	Even if I can’t see you because of the clouds	구름에 가려 보이지 않을 때도
11	Even though I know you’re still there	너 그 자리에 있단 걸 난 알아도
12	Every time I can’t see you	넌 내가 보이지 않을 때마다
13	I get nervous	항상 불안해했으니까
14	So I pray that the clouds will be rain and fall down	저 구름이 이제 비가 되어서
15	Is that star looking at me too?	내리기만을 나는 기도해
16	Won’t it be looking at me?	혹시 저 별도 나를 보고 있을까
17	Is that star	아니 날 보고 있지 않을까
18	Looking at me too?	저 별도 나를 보고 있을까
23	Is there anything that shines as much as you?	너만큼 반짝이는 게 또 있을까
24	What if you can’t hear my song	너무 멀어서
25	Because you’re too far away?	내 노래가 들리지 않을까
26	What I’m looking at	내가 보고 있는 게
27	Is that you?	지금의 너가 맞을까
28	Every night, I look at you	매일 밤 너를 보며
29	Did you see me with my hands gathered?	두 손 모은 나를 봤을까
30	Did you see me too?	너도 나를 봤을까
31	Or did you avoid me?	아님 피해 갔을까
32	I pray that you’ll fall into my arms	내 품에 떨어지길 기도해
34	I won’t ever let you go	다시는 놓치지 않을 텐데
36	This is just part of the journey	이 시간들은 그저 과정일 뿐이야
44	What I can do	내가 할 수 있는 건 그대
45	Right now	이 순간에도
46	Is to believe that you’re looking at me	날 보고 있다고 믿는 것
47	So even after you left me	그래서 난 네가 떠난 이후로
48	Without a single trace	스쳐간 흔적도 없지 그 누구도
49	But why is that I can see you	그런데 왜 넌 항상 보여도
50	But I can’t touch you or hug you?	손 닿을 수도 안을 수도 없는 걸
1	Everyone likes this, gather round woo yeah	누구나 다 좋아 Gather round woo yeah
2	Let’s be proper today	오늘은 각 좀 잡자
6	Take out the tuxedo	Tuxedo를 꺼내
7	Woo hurry and take it out	Woo 어서 꺼내
8	Gatsby’s DNA in my body	내 몸 안에 Gatsby의 DNA
9	What’re you worried about?	뭐가 걱정돼
10	Take out the potential from the opposite side of your body	니 안에 반대편에 잠재력을 꺼내
11	The shining dance hall light	저 번쩍이는 Dance hall light
12	Sam, bring me the champagne	Sam아 샴페인 가져와
14	spicy, bomb, Sriracha	Spicy, bomb, Sriracha
15	Woo Let me talk about ravi da loca	Woo let me talk about ravi da loca
16	A party with clouds on the ceiling	구름이 달을 가린 Party
17	After breaking out some dance moves	한탕 춤바람이 날리고 나니
18	Glass mentality? This is bulletproof glass	유리멘탈이 아저씨의 이거 방탄유리야 이 XX로
19	I’ll transform into this XX and cheese	변하고 Cheese
20	I’ll take what I get and it’ll all be	주는 대로 받아도 다
22	I can do anything today	오늘은 뭘 해도 돼
23	All the frustrations of the past	지난날의 답답함 다
24	Pop pop them all	Pop pop 다 갖다
26	suit and tie	Suit 위에 Tie
27	Button up	단추 다 잠그고
31	Throw away the exhaustion and boredom	지친 일상과 지루함 다 버려
32	Throw it away	버려도 돼
33	You can get luxurious today babe	오늘은 럭셔리해도 돼 Babe
36	You need to study when you’re younger	어릴 때 미리 공부를 해야
37	To have a strong brain and become a prodigy	비상한 두뇌를 가지고 영재가
38	When you’re in school, you should study	될 수 있어 중고딩 땐 당연히 공부를 해야
39	So you can go to college and pick a major	대학에 가 전공을 살리지
40	Kim Joo Young teacher was too scary	김주영 쌤은 너무 무서워
41	But the adults still want that teacher	그래도 어른들은 쓰앵님 쓰앵님만 찾아
42	I’ve lost myself but why do they	날 잃어버린지도 모른 채
43	Keep looking for my numbers	 왜 나의 숫자를 자꾸만 찾아
44	I hate this, I’m gonna be a reckless guy	싫어 망나니가 될 거야
45	I’m gonna keep partying	계속 Party를 벌릴 거야
46	I’m gonna throw my pen and grab a mic	펜 던져버리고 마이크를 잡을 거야 난
47	People who wanna play hard party, come here	Play hard party할 사람 다 모여
63	They call you loser say what	They call you 꼴통 Say what
65	Whatever whatever, what are you saying	Whatever whatever 뭐래 뭐래
66	Shut that mouth	그 입 좀 다물어
69	No matter what anyone says	모두가 뭐래도 뭐래도 뭘 해도
70	You can do whatever you want	니 맘대로 해도 되고
71	You can party, you can be luxurious	Party 해도 돼 럭셔리해도 돼
0	Don’t, don’t, don’t give up	지 마 지지 마 포기하지 마
3	I can’t see the light	빛이 보이지 않아
4	This tunnel has no end	끝없는 터널 속
5	I’m scared, I’m afraid	무서워 겁이나
7	I’m so afraid	알 수 없는 내일이
8	Of the unknown tomorrow	너무나 두려워
9	It’s alright, power up	괜찮아 Power up
11	Even if I fall down	지쳐 쓰러져도
12	Even if I want to give up	포기하고 싶어도
13	Don’t stop me	날 멈추지 마
15	Don’t forget, don’t let go	잊지 마 놓지 마
16	Of the moment you dreamed of	꿈꿔왔던 그 순간
17	Once more, burn it up	한번 더 Burn it up
18	Don’t give up, don’t give up	Don’t give up 포기하지 마
19	Don’t hide, go toward the light	숨지 마 빛을 향해 나가
20	Don’t lose to the world, don’t lose, don’t lose	세상에 지지 마 지지 마 지지 마 지지 마
23	Don’t let go of my hand	내 손을 놓지 놓지 마
24	Don’t be afraid	두려워 하지 하지 마
25	Tonight, it’s you and me	오늘 밤 너와 나
26	Don’t leave regrets	후횐 남기지 마
27	Don’t ever give up	절대로 포기하지 마
32	Don’t ever give up	절대로 포기하지 마 하지 마
34	Don’t, don’t	지 마 지지 마
37	You can’t see the end?	끝이 보이지 않아
38	Don’t get nervous	불안해 하지 마
39	Now turn it up	이제는 Turn it up
40	This race has started	시작된 레이스
41	Run to the end	끝까지 달려가
42	Don’t ever be afraid again	다신 겁내지 마
55	Tonight, it’s you and me	오늘밤 너와 나
58	Don’t give up your dreams	내 꿈을 포기하지 마
59	Don’t lose	나에게 지 마 지지 마
60	Don’t forget tonight	오늘 밤 잊지 마
61	Once more, pick me up	한번 더 Pick me up
64	Don’t lose	나에게 지마 지지 마
69	Run with me	나와 함께 달려가
70	Don’t let go of my hand	손을 놓지 마
73	Don’t ever give up	절대로 포기 하지 마 하지 마
74	Don’t stop me, stop me	나를 막지 마 막지 마
0	It’s an irony that I’ve fallen for you	Irony 하게 네게 빠졌지
1	I’ve never felt this way before	처음 느껴보는 기분인걸
2	The moment I saw you	널 보는 순간
4	Both of us went ooh ooh ooh	서로 ooh ooh ooh
5	Beautiful, you’re beautiful, words I saved up for you	Beautiful 넌 beautiful 아끼고 아낀 말
6	I wonder if you how I feel	이런 내 맘 너는 알까
7	Wonderful, you’re beautiful, you’re so pretty	Wonderful 넌 beautiful 예쁘고 예뻐서
8	Just thinking about you makes me smile	생각만 해도 웃음이 나
10	Just looking into your eyes, I know	눈빛만 봐도 잘 알잖아
12	My lips keep trembling	입술이 자꾸 떨리잖아 oh
13	I’ve fallen into your heart, I can’t get out	네 맘에 빠져버려 헤어날 수가 없어
14	Ooh ooh (I like you)	Ooh ooh (네가 좋아)
21	I wanna feel you, right in front of my eyes	너를 느끼고파 눈앞에서
22	I wanna take one step closer to you	다가가고 싶어 한 걸음 더
23	But whenever I stand in front of you	근데 막상 네 앞에 설 때면
24	My lips go blah blah, I keep stuttering	내 입은 blah blah 더듬거리는 걸
25	Even I know I’m not good enough for you	내가 봐도 내 모습이 탐탁지 않아
26	I wanna be cool but it’s not easy	잘하고 싶은데 맘 같지 않아
27	Even if it’s just in my dreams	꿈에서라도 널 옆에 앉히고
28	I wanna have you by my side and go fiesta fiesta	떠날래 fiesta fiesta
29	You know that feeling babe	느낌 알잖아 babe
31	You know, I know I’m not good enough but	You know 내가 많이 부족하지만
32	I’m not blind, I’m not blind	I’m not blind I’m not blind
33	I’m only looking at you tonight	너만 보고 있잖아 tonight
43	Ooh ooh (I like you)	Ooh ooh
44	I think spring has come to me	나에게 봄은 지금인가 봐
45	Right now, as I’m looking at you	널 보고 있는 지금
46	Will you always stay by my side?	언제나 내 곁에 머물러 줄래
47	I don’t wanna miss this opportunity	지금 이 순간을 놓지 않을래
0	I said I’m fine	아, 괜찮다구요
1	I said I’m happy	행복하다구요
2	You’re worried about me but	어쩌면 날 걱정하는 너보다
3	How can you expect more	뭘 기대하나요
4	From me than yourself?	울었음 싶나요
5	Did you want me to cry?	그러기엔 난 좀 기분이 좋아요
6	I’m feeling too good to do that	세상엔 재미있는 게
7	There are so many fun things to do in this world	이렇게 많이 있는데
8	It overflows with good songs, pretty clothes	좋은 노래와 이쁜 옷
9	And delicious food	그리고 맛있는 것들도 넘치는데
10	I have a lot to do besides fall in love	사랑 말고도 난 좀 할 일이 많아
11	So I’ll be on my way now	이만 가 볼게요
16	I’m not really dating these days	안 하는 쪽에 가까운 연애
17	I’m comfortable with that right now	난 지금이 편해 뭘 해도
18	Whatever I do, I sleep well at night	밤에도 잘 자고
19	Even though I drink so much coffee	커피를 그렇게 마셔대도
20	Everything I do turns out well	하는 일도 다 잘 됐고
21	I’m being a good daughter to my parents	효도는 실천 중이고
22	The only things that sadden me are the microdust in the air	아쉬운 건 미세먼지와
23	And your nosy interference	너의 오지랖뿐
28	Don’t tell me things	그 사람의 소식을 내게
29	About him	전하지 마세요
30	If I’m curious	궁금하면 내가 직접
31	I’ll call him myself	전화해볼게요
33	I’m asking you please	부탁할게
34	If you stop bothering me	방해만 말아주시면
35	I’ll be truly thankful	진심으로 감사드리겠습니다
0	The hot glance makes everything stop	뜨거운 시선에 모든 게 stop
1	On a day like today, I didn’t want to do anything	의욕 따윈 없는 오늘 같은 날에
2	I was feeling so lazy but without knowing	늘어진 기분을 나조차 모르게
3	There’s that one thing that makes me get up	일으켜 세우는 단 한 가지
5	No words can explain	그 어떤 말로도
8	Even when you stay still, you look superior to others	가만히 있어도 우월한 모습에
9	I have no choice but to strongly react	격하게 감탄을 할 수 밖에
10	I try turning my head and stopping	고개를 돌리고 멈추려 애써도
11	But my eyes keep following you	시선을 널 따라
13	It’s getting hotter	점점 뜨거워져
14	I can’t take it anymore	견딜 수 없어
15	You’re my THRILLA KILLA	오, 너는 나의 THRILLA KILLA
17	Alright, right now	Alright, 지금 이 순간
19	Yeah, I wanna make u mine	Yeah, I wanna make you mine
20	I wanna dance Hold you tight	I wanna dance hold you tight
21	With my heavy breathing, I want to trap you in my arms	뜨거운 내 숨결로 널 내 품에 가두고 싶어
23	Even if they give me the world, I only need you	세상을 다 준다 해도 오직 너 단하나
26	I’m falling deeper and deeper	점점 더 깊이 빠져가
27	I can’t stop	이미 난 멈출 수가 없어
29	Our own paradise, trust yourself with me	둘이서 만든 paradise 널 내게 맡겨
31	Your groove attracts all eyes	모든 시선을 끌어당겨 너의 groove
33	Thrilla killa, you’re my perfect queen	Thrilla killa 완벽한 내 퀸이야
34	My eyes spark when I see you	널 보는 눈빛에 터지는 spark
35	Baby, the more I see you, the more I want you	Baby 볼수록 너를 더 갖고 싶지
36	Your scent provokes my whole body	온몸을 자극해 너의 그 향기는
37	The only thing that lets me breathe	숨쉬게 만드는 단 한 가지
39	No one else but me can handle you	나 아닌 누구도
40	THRILLA KILLA	감당 할 수 없을 걸 THRILLA KILLA
56	You’re hotter than the sun, come into my arms	태양보다 뜨거운 널 내 품 안에
58	Even if I melt, I’ll give you my all	녹아버려도 내 모든 걸 바칠게
60	I want to give you my all, only to you	나 오직 너에게만 내 모든걸 던지고 싶어
68	You’re in my arms right now	널 품에 안은 이 순간
69	Let me stop time	멈추게 해줘
0	I don’t really know either	사실은 나도 잘 모르겠어
1	Where this instability came from	불안한 마음은 어디에서 태어나
2	And how it reached us	우리에게까지 온 건지
3	I didn’t know when it bloomed	나도 모르는 새에 피어나
4	And even if it becomes a big cut on our relationship	우리 사이에 큰 상처로 자라도
5	Maybe it’s not our fault	그건 아마 우리의 잘못은 아닐 거야
6	That’s why we should hold our hands	그러니 우린 손을 잡아야 해
7	So we won’t drown in the ocean	바다에 빠지지 않도록
8	We should continue making eye contacts	끊임없이 눈을 맞춰야 해
9	Though sometimes we’re so used to each other	가끔은 너무 익숙해져 버린
10	That way we won’t lose each other	서로를 잃어버리지 않도록
12	And though it often gives us pain	우리 사이에 자주 아픔을 줘도
13	It will let us grow bigger	그건 아마 우리를 더 크게 해줄 거야
19	The pains that I’m used to	익숙해진 아픈 마음들
20	Won’t let me and you go	자꾸 너와 날 놓아주지 않아
21	Will we be able to be happy?	우린 행복할 수 있을까
0	It’s been a long long time, here we are now	참 길고 길었지 여기 우리 지금까지
1	All the nights I wandered alone, on a seemingly endless road	혼자 헤매이던 밤들과 끝 없어 보이던 길로
2	I met you and you shinned on me	널 만난 거야 반짝이며 날 비춰 준
3	That moment became the beginning of our story	그 순간 시작됐던 우리 이야기의 시작
4	Maybe is it a dream? You next to me	[이유/미아] 혹시 꿈일까 내 곁에 있는 너
5	Is it a miracle?	기적인 걸까
6	I waited (I waited)	기다렸던 (기다렸던)
7	I hoped (I hoped)	바래왔던 (바래왔던)
8	This seems like a dream come true	소원을 이룬 것 같아
9	Spring comes to me and the cold winter passes	[이유/미아] 내게 봄이 와 추운 겨울 지나
10	(The cold winter passes)	(추운 겨울 지나)
11	You embrace the shinning me	눈부시게 날 안아 주는 너
12	I’m glad I am in your day	[아/이] 참 다행이야 니 하루 속에
13	In the boring days too (In the boring days too)	지루한 날에도 (지루한 날에도)
14	In the happy days too (In the happy days too)	기쁜 날에도 (기쁜 날에도)
15	We can be together anytime	[아/이] 언제든 함께일 수 있어서
16	Sometimes it will be sad and it will hurt	가끔 슬프기도 아프기도 하겠지
17	But when that happens, remember us here today	그럴 때마다 오늘 여기 우릴 기억해
26	When you are tired, you can rest	지칠 땐 기대 쉬어 가도 돼
27	I will be here always always	난 여기 있을테니 Always always
28	Perhaps is it a dream? You and I right now	혹시 꿈일까 지금의 너와 나
30	If we are together	우리라면 함께라면
31	I want to promise eternity	영원을 약속하고 싶어
32	Spring is coming, walk together with me	너란 봄이 와 나와 같이 걷자
33	On our unforgettable first day	잊지 못할 우리의 첫날에
34	On our first day	우리의 첫날에
0	Hmm show me	Hmm 보여줘
1	Such an obvious secret that everyone knows	누구나 다 아는 뻔한 그런 비밀
2	Somehow I’m really not interested	왠지 나는 별로 흥미가 없는걸
3	From now on I’ll only talk about the truth	지금부터 진실만을 얘기하기
4	I want to meet a side of you that only I can know	나만 아는 너를 만나고 싶어 난
5	Far away, dim, ambiguous	까마득해 불투명해 아리송해
6	Even if I’m always nearby I get a strange feeling	가깝게 늘 맴돌지만 낯선 느낌
7	I have no interest whatsoever in anyone else	난 딴 사람에겐 관심조차 없는데 난
8	For no reason, I’m constantly curious about you every day	이유 없이 자꾸만 니가 궁금해 매일
9	That’s somewhere always half-hidden	그 어딘가 언제나 반쯤 가리어진
10	The other side of the moon	달의 뒤쪽
11	Show yourself, more honestly	널 보여줘 더 솔직히
12	Show yourself, more clearly	널 보여줘 더 확실히
13	Show yourself, somewhere always half hidden	널 보여줘 그 어딘가 언제나 반쯤 가리어진
15	Show me, oh yeah	보여줘 Oh yeah
16	Ay you who had hugged me tightly	Ay 날 꼭 안던 네
17	Warm light, sweet taste	따스한 빛 달콤한 Taste
18	Moon, I wish you made tonight last forever	달아 난 오늘 밤이
19	For no reason, that’s me	지나지 않았음 해 이유 없이 That’s me
20	Show yourself only to me, completely	나한테만 드러내 줘 남김없이
22	Show yourself to me	너를 내게 보여줘
23	I think of you as special, unique (Oh yeah)	널 생각해 특별하게 유일하게 (Oh yeah)
24	Answer me, how do you feel about me	대답해 봐 너에게 난 어떤 느낌
29	Show yourself, more honestly	(널) 널 보여줘 더 솔직히
33	I think there’s something more about you	뭔가 더 너는 있을 것 같아
34	I trust this hunch I have	이 예감을 믿어
35	We’ll be quite made for each other	우린 꽤나 잘 어울릴 거야
40	The other side of the moon	달의 뒤쪽 (널 보여줘)
41	Show yourself, more honestly	널 보여줘 더 솔직히 (보여줘)
