	eng	kor
40	Come closer and unravel me	가까이 와 날 풀어봐
41	Though it won’t be easy	쉽진 않겠지만
43	Harder than a math formula	수학 공식보다 더
44	Alright, each place I look at has a spotlight	All right 내 시선 하나하나 Spotlight
45	Wherever I go, I become the highlight	어디든 중심이 돼 Highlight
46	Keep shine I wanna shine every day	Keep shine 반짝일래 매일
48	Falling, falling, falling	빠진다 빠진다 빠져들어
49	I know you don’t hate it	그게 넌 싫지 않아
53	And you can’t handle it	and 넌 그런 나를 감당 못해
54	Me myself and I, I’m getting hot	Me myself and I 뜨거워져 난
55	I’m rising above the clouds	달려가 구름 위로
70	Lalala (Say my name)	랄랄랄라 랄랄라 랄랄랄랄라 (Say my name)
71	Lalala	랄랄라라 랄랄라 랄랄라  (Just say my name)
72	Lalala (Say my name)	랄랄랄라 랄랄라 랄랄랄랄라 (Oh) (Say my name)
73	Lalala	랄랄랄라 랄랄라 랄랄라
1	Since when were we destined to meet	언제부터 우리가 만날
2	On days I felt small and smaller	운명이었을까 작고도 작았던 날
3	You came to me like this	이렇게 날 찾아와서는
4	And taught me what happiness was	행복이 뭔지 알려줬어
5	To you, who lights up my dim tomorrow (to you)	희미한 내일을 밝혀 주는 네게 (너에게)
6	There are many things I haven’t said yet, for real (yeah)	못다 한 말들이 많아 For real (Yeah)
7	We might be looking towards the same place	어쩜 우린 같은 곳을 보고 있을지도 몰라
9	Following the overflowing light	쏟아지는 빛을 따라가
10	And you’re there	그곳엔 네가 있어
11	All I can see is you	오직 너만 보여
13	We’re walking together	함께 걷고 있잖아
14	And unknowingly reached up to here	어느새 이곳까지
15	Now when I look back, my heart warms up	이제 뒤를 돌아보면 따뜻해질 나의 마음이
16	Always stay with me (with me)	언제나 함께해줘 (With me)
17	You, who became a light in the dark sky	어두운 밤하늘 빛이 되어준 너
18	I’m going to tell you that I’m really thankful	정말 고맙다고
19	I’m going to run and embrace you	말해줄 거야 달려가 안아줄 거야
20	Even when I’m about to fall down, my heart	지쳐 쓰러진대도 내 맘
21	Will never change	절대 변치 않아
22	I’ll protect you, You’re the only one I’ve needed	지켜줄 거야 You’re the only one I’ve needed
23	Beautiful Light, Beautiful Light	Beautiful Light Beautiful Light
27	Beautiful Light, my Beautiful Light	Beautiful Light My Beautiful Light
28	Because you’re here, my world has lit up yeah	네가 있어 내 세상이 밝아졌어 Yeah
29	I’ll take a step closer now	이젠 내가 한 발 더 다가갈게
30	You just stay there, I’ll go and find you	너는 거기 서 있어 내가 널 찾아갈게
31	The small lights gather and show a miracle	작은 빛이 모여 기적을 보여 주네
32	You and I, we become one	너와 나 우리 하나가 되네
33	We might have already been	어쩜 우린 이미
34	Searching for each other yeah yeah	서로를 찾고 있었는지 몰라 Yeah yeah
39	We’re walking together and unknowingly reached up to here	함께 걷고 있잖아 어느새 이곳까지
50	Because I’ll stand up again and	다시 일어날 테니까
51	Even if I fall, you’ll be by my side	넘어져도 네가 옆에 있으니까
54	Because you’re my star	나의 별은 너니까
55	Would you shine bright always	언제나 환히 비춰줄래
3	Don’t say anything	아무 말도 하지 마
4	Don’t care about what others say	남의 말은 신경 꺼
5	Because I’m going to sing my song for you	내 노랜 널 위해 부를 거니까
6	So don’t say a word	한마디도 하지 마
7	I only have thoughts about you	온통 네 생각뿐이야
8	The spot next to you is for me	네 옆은 날 위한 자리
10	I don’t know why you act like you don’t know	왜 모른 척하는지 몰라
12	Put away your doubts	의심 따윈 접어둘래
13	You should sense it too	너도 눈치로 알아
14	That I’m someone who exists for you	난 너를 위한 존재인걸
15	Alright, now put it on infinite repeat	자 이제 무장해제를 해봐
16	Love arrow shooting, raise your hand	Love arrow shooting 손들어
23	Even if you’re bubbly, I don’t care	통통 튀는 너도 나는 Don’t care
24	Even when playing hard to get, not at all	튕겨대도 전혀
37	I write a poem for you	너를 위해 시를 써
38	I write anything for you	너를 위해 뭐든 써
39	Completely falling deep	완전히 푹 빠져버려
40	You control me	네가 날 Control해버려
41	Even if I know that, I lose	알아도 난 패배
42	I get sucked in like I’m crazy, but it’s just towards you	미친 것처럼 빨려가 너한테만 그래
43	Even if I know that, I go on my knees	알면서도 꿇어
44	Seems like I’m intoxicated by your mysterious pheromone	묘한 페로몬 취한 듯
45	You control me however you want	네 맘대로 날 Control
65	I’ve waited up til now and	지금까지 내가 기다려왔고
66	As if you have no interest	관심 없단 듯이 퉁
67	Shooting towards the front	전방을 향해 Shoot
68	In last night’s dream, I held your hand and danced	어젯밤 꿈에서 네 손을 잡고 춤
69	On your hips, I laid my hand	허리춤 내 손을 툭
70	Listen to my sincerity on how I follow you now	이제는 내가 아닌 너를 따라가는 나의
71	And not myself. Call my name	진심을 들어 이름을 불러
72	The hidden shadow, I bring out it’s true identity	숨겨둔 그림자 본체로 끌어당겨
74	You stop my senses	나의 감각을 멈춰버려
75	You flow throughout my blood vessels and control my heart	네가 혈관에 흘러 심장을 Control
3	The day is quite long	하루가 참 길다
4	Even when I close and open my eyes,	눈을 감고 떠봐도
5	It’s always the same day	매번 같은 날인걸
6	Am I the only one	나만 그래
7	You’ve already forgotten,	벌써 넌 잊었는데
8	You’re probably doing well	너는 괜찮을 텐데
9	In worries	입속에 맴도는
10	That the name lingering on my lips will escape	이름 샐까 봐
11	I try to hold onto my chest and suppress it, but	가슴 붙잡고 참아보지만
12	Even though I feel like dying,	죽을 것 같지만
13	Even if I just smile like this,	마냥 웃어봐도 Oh
14	Oh, I seem like a crazy person, oh	미친 사람처럼 Oh
15	I pray that these feelings of longing turn into hate	그리움이 미움이 되기만을 I pray
16	It’s the same, I’m hurting again today	똑같다 오늘도 아파 온다
17	Even if you throw me away, only one (Hey)	버려도 Only one (Hey)
18	Even if you erase me, only one (Hey)	지워도 Only one (Hey)
19	It’s hurting more, only pain rushes upon me	더한다 통증만 밀려온다
20	Without you, only one (Hey)	너 없이 Only one (Hey)
21	By myself, only one	나 혼자 Only one
22	Oh, am I the only one	Oh 나만 그래
28	Am I the only one	Am I The Only One
29	They say everyone’s the same, but I’m the only one	모두가 같을 거래 나만 그래
30	The doctor tells me that it’s just a cold, I’m sniffling	의사는 내가 이런 게 감기래 훌쩍이네
31	Maybe I’ve been influenced by	네가 놓고 간
32	The withered flowers you’ve left behind	시든 꽃에 물든 건지
33	Covered completely in dust, farewell covered by a toilet Ya	수북이 쌓여 먼지 이별 덮인 변기 Ya
34	I thought I let it pass by, but once again	흘려보냈다 생각했는데 다시 또
35	Acting like it never happened, you do it once again	언제 그랬냐는 듯이 네가 다시 또
36	A defensive attitude as to not get hurt	상처받지 않기 위한 방어적인 태도
37	Once again, you stick to me just as much	밀어낸 만큼
38	As I’ve pushed you away	다시 또 불어 내게로
42	Even though I feel like dying	죽을 것 같지만
43	Even if I just smile like this	마냥 웃어봐도
59	That’s right, I’m the only one	그래 나만 그래
60	Trapped in the mold that you’ve created.	네가 만든 틀에
61	It’s easier for me now to be left alone	갇혀 이젠 혼자 남겨지는 게 더 편해
62	I’m like this right now,	나는 지금 이런데
63	But how have you been these days	요새 너는 좀 어때
64	That’s right, hold me back and tell me not to leave	그래 가지 마라 뜯어말려
65	Because I’m getting angry	눈 뒤집히고 있으니까
66	Because I’m going to express myself, like others do	난 남들 다하는 표현과
67	In my own way	내 식대로 하려니까
68	Without things like beats	박자 그딴 것 없이
69	I can’t even match a beat with you	너랑도 박자가 안 맞는데
71	It’s drying up, even my breath is drying up	마른다 숨조차 말라간다
74	It’s hurting more, only pain rushes upon me	타간다 슬픔이 재가 된다
1	Baby, I don’t know what’s what	Baby 뭐가 뭔지 모르겠어
2	I’m dizzy and spinning around	어지럽고 뱅뱅 돌아
3	Is this reality or a dream	현실이야 꿈인 거야
4	No no, I’m confused	No No 헷갈려
5	Oh, a light shines from behind your face	Oh 네 얼굴 뒤엔 빛이 비쳐
6	A female protagonist aura, oh	여주인공 아우라 Oh
7	My whole body seems to be frozen	온몸이 얼었나 봐
8	My lips seem to be stuck together	입술이 붙었나 봐
9	Snap out of it and say something	정신 차리고 말 좀 해
10	Ready ready go	Ready Ready Go
11	My heart is on fire, fire, fire, fire, fire	내 심장이 타 타 타 타 타
12	I Iet go, let go, let go, let go, let go of my senses	정신줄을 놔 놔 놔 놔 놔
13	You’re my own goddess	나만의 여신이야 너만
14	Only you can disarm me	나를 무장 해제해
15	Oh, my love is on fire, fire, fire, fire, fire	Oh 내 사랑이 타 타 타 타 타
16	I let go, let go, let go, let go, let go of my pride	자존심은 놔 놔 놔 놔 놔
17	At first glance, I fall in love	난 첫눈에 딱 Fall in love
18	Let it go, let it go	Let it go Let it go
19	On fire, on fire	타 타
20	Love me, love me, love me yeah	Love me Love me Love me yeah
23	On fire	타 타
24	Your slight silhouette ruins multiple people	비스듬히 비친 너의 실루엣이 사람 여럿 망쳐
25	Their eyes are on you, I’m worried about any more	시선이 감겨 더는 불안 Uh
26	Yeah, it bothers me, all of it	Yeah 신경 쓰여 다
27	I can’t say anything in case I say something else in my imagination, stop	다른 말 할까 봐 입을 못 떼 상상으론 Stop
28	The smoke spreads	불 그을린 번짐
29	Even though I know that it’s repeating a pain that won’t go away	또 가시지 않는 아픈 반복인 걸 알면서도 난
30	I get intoxicated by the flower bloomed in your wrist once again	네 손목에 피어 있는 꽃에 또 홀려
31	And I, who’s following you, won’t ever be able to turn this fire off, yeah	널 따라가고 있는 난 이 불을 절대 못 꺼 Yeah
32	Before you disappear, I’m going to confess	사라지기 전 고백해
33	Ready ready yo	Ready Ready Go
47	You, who I found after a long, long time	긴긴 시간 속에 찾은 너
48	Even if my body burns faster	더 빠르게 내 몸이 타도
49	The path towards the fire is you	불길의 방향은 너
50	I’m going to reach you safely	네게 안착할 거야
51	I won’t be kind to others	남에게 안 착할 거야
52	Can you guess how I’m feeling?	지금 내 기분을 가늠하시나요
53	How I feel, dressed up like this oh yeah	쫙 빼입은 채 기분은 Oh yeah
54	1, 2, 3, I’ll show some courage	1 2 3 용기 내볼게
55	Honestly, you’ve fallen for me	솔직히 빠졌는걸
56	1, 2, 3, I’m walking towards you	1 2 3 너에게 걸어
57	Please say something	뭐라고 말 좀 해줘
0	It’s like this day was promised	마치 약속된 것 같은 날에
1	The time and even the weather is perfect	시간과 날씨도 완벽해
2	I see you open the door and come in with a bright smile	환한 미소로 문을 열고 들어오는 (들어오는)
3	Hold on, come here for a second	잠깐만요 이리로 와보세요
4	There are so many sweet things here	여긴 달콤한 게 참 많아요
5	Eyes that shine brighter than mine are right in front of me	나보다 더 반짝이는 눈이 내 앞에 있어서
6	(I’m happy)	[렌/JR] (행복해요)
7	Sweet things get sweeter once you embrace it	달콤한 건 끌어안을 때 더 그런데 (Oh)
8	So why don’t we hug each other?	우리 한번 안아 볼래요
9	Someone told me	Yeh 누군가의 얘기론 (얘기론)
10	The sweetest thing in the world is love	세상 가장 달달한 건 딴 게 아닌 사랑 이래요
11	I’m looking for a chocolate that fits you the best	당신에게 가장 어울릴 초콜릿 찾고 있어요
12	Can you give me some time?	조금만 시간을 내어 줄 수 있을까요?
13	I’ll give you sweet chocolate now	지금은 달콤한 초콜릿 손에 쥐여주지만
14	But don’t forget, we need to share love	잊지 말아요 우리는 사랑을 해야 해요
15	We need to do it	하면 돼요
16	LA	LA-
17	Who cares about who gives it to who	누가 누구에게 주면 어때
18	Everyone likes sweet things	달콤한 건 모두가 좋아해
19	Without knowing, I’m in a good mood	나도 모르게 조금 기분이 좋아지고
20	My heart is smiling	내 마음은 금세 웃게 돼
21	I wrapped it up to give to you	줄려고 이거 포장해 놨는데
22	But if you give me that bright smile, it’ll surprise me	밝은 미소를 주면 내가 놀래
23	It’s so sweet, it’s making me sweet	음 달콤하다 못해 내가 달다
24	Sweet things get sweeter once you embrace it	달콤한 건 끌어안을 때 더 그런데 (Oh My)
25	So why don’t we hug each other?	우리 한번 안아 볼래요 (Yo)
33	Maybe love can be hard	어쩌면 사랑은 어려워
34	But everyone needs love	누구나 사랑이 필요해
35	Rather than “I love you”	사랑한다는 말보다 따뜻한 말
36	Warm words of comfort can really give strength	한마디가 힘이 될 때가 있어요
37	Let’s tell each other	서로에게 이 말을 꼭 전해요
38	Nannannanna nannannanna	난난난나 난난난나
40	It’s not far away	멀리 있지 않아요
41	Let’s start our love now	지금부터 사랑을 시작해 봐요
42	Have love with us	사랑을 우리와 함께하세요
43	You just need to start it now	지금 바로 하면 돼요
0	I go back every day	매일 돌아가 본다고
1	To me of yesterday	그때의 나로
2	To the life of giving up	포기를 선택한 삶으로
3	I let myself go away	날 놓아본다고
4	But in this world, you know	But 세상에는 있지
5	There are truths unchanged	변하지 않는 몆 진실
6	Time rushes ever forward	시간은 앞으로 흐른다는 것
7	There’s no ifs, buts, or maybes	만약은 없단 것
8	Almost forgotten memories return	까마득해질 만하면 생각나 그 시절
9	Touch of the devil, fateful recall	악마의 손길과 운명의 recall
10	I still wonder, why did they beckon again	궁금해 아직도 왜 다시 불렀는지도
11	Every day ask me, guess it, whip it, repeat oh	매일 ask me, guess it, 채찍, repeat, oh
12	Nothing that will change, so	변할 건 없다며 결국 또
13	I lock it up again, close	걱정을 억지로 잠궈, close
14	‘How much love? How much joy?’	How much love? How much joy?
15	Soothe myself and stay calm, alone	위안을 주며 stay calm, alone
16	Yeah I don’t care, it’s all	그래 I don’t care, 전부 내
17	Choices by my fate, so we’re here	운명의 선택, so we’re here
18	Look ahead, the way is shinin’	내 앞을 봐, the way is shinin’
20	(Ready set and begin)	(Ready, set, and begin)
21	That way, way, way	그 길로, 길로, 길로
23	Only Ego Ego Ego	오직 ego, ego, ego
25	Life not of j-hope but Jeong Ho-Seok flashes by	문득 스쳐가는 j-hope이 아닌 정호석의 삶
26	It must have been full of regret with no hope till I die	희망이란 없고 후회만 가득했겠지 ’til I die
27	My dancing was chasing ghosts	춤은 뜬 구름을 잡을 뿐 나의 꿈을 탓할 뿐
28	Blaming my dream, asking why I live and breathe	살아 숨쉬는 거에 의문을
30	Uh time goes by	Uh, time goes by
31	Seven years of anguish come out finally	7년의 걱정이 드디어 입 밖으로
32	Oppressions all resolved	모두 해소되는 핍박
33	Into my heart come answers from my most trusted	가장 믿던 그들의 답은 내 심장으로
34	‘Only one hope, only one soul’	하나뿐인 hope, 하나뿐인 soul
35	‘Only one smile, only one you’	하나뿐인 smile, 하나뿐인 너
36	Definite answer to the truth of the world	세상 그 진실에 확실해진 답
37	Only one and unchanging me	변하지 않는 그 어떤 나
39	Now I don’t care, it’s all	이제 I don’t care, 전부 내
48	Way I trust	믿는 대로 
49	Way I go	가는 대로
50	Became my fate	운명이 됐고 
51	Became my core	중심이 됐어
52	Hard it was	힘든 대로 
53	And sad it was	또 슬픈 대로
54	Still reassured and	위로가 됐고 
55	Made me know myself	날 알게 됐어
57	Map of the All 	Map of the all 
58	That’s my Ego	That’s my ego
61	Map of the All	Map of the all
1	A variety of colors before my eyes	다채로운 색들이 지금 내 두 눈앞에
3	Everything about you is beautiful	너의 그 모든 것들이 다 아름답네
5	You are beautiful Yeah Yeah	너는 Beautiful Yeah Yeah
9	Our life	우리 Life
10	When I see pretty things, my eyes light up	예쁜 것들을 볼 때 두 눈은 Light
11	As if I’m wearing colored glasses	색 안경을 끼고 본듯해
12	The way your clothes fit is so dangerous, what	위태한 너의 옷 태 What
13	Thanks to you, the bass of my heart is ringing	그 덕에 심장에 울리는 베이스
14	Wherever I go, your scent is there	어딜 가던 네 향기가 다 배어있어
15	You’re so far from the word, deny	넌 거부라는 단어와는 거리가 멀어
16	Wait, wait, I’m trying to soothe my nerves	Wait Wait 쉬어가며 긴장을 덜어
17	Now the real game starts	이제부터 본 게임 Start
18	Throw away the guys who say they have no time	시간이 없다는 놈들을 제끼고
19	Now let’s go up two levels, level up	이제는 두 단계를 Level up
20	No thoughts on stopping now, nothing	멈출 생각은 이젠 Nothing
21	You’re not ordinary at all	평범 하지 않은 너를
22	So how can I just leave you alone?	어째 그리 놔둬 Wah
23	I need a lot of courage to have you	널 담을 큰 용기가 필요해
24	Even if I end up failing	그게 실패일지라도 비록
33	Where are you going?	어딜 그리 돌아 다녀
34	Whenever you move, I get nervous	움직일 때 나 불안해
35	When you brush over your hair that blows in the wind	바람에 날린 머리 쓸어 넘길 때가
36	That makes me the most nervous	나 제일 불안해
37	I have color eyes	두 눈에는 컬러아이
38	Let me install myself in front of you	장착하고 네 옆에 딱
39	That’s when I’m the happiest	있을 때가 난 행복해
40	Now my pockets are so full	이젠 주머니가 두둑해
41	You make things that never existed come to fruition	없던 것들을 만들어내고
42	You flipped my life backwards	내 인생을 거꾸로 바꿔놔 이렇게
43	Each day used to feel the same	비슷비슷하게 돌아가던 매일
44	But after my color eyes, I’m scanning you	컬러아이 장착하고 너를 스캔
45	Now I have assurance on this starry night	확신의 찬 맘 다시 또 별이 많은 밤
46	Wherever I go, you shine the brightest	어딜 가던 네가 제일 빛나
47	I have color eyes	내 눈에는 컬러 아이
56	You make beauty that never existed come to fruition	없던 아름다움도 만들어내
57	There’s freshness in there like lemonade	그 안엔 상큼함이 레모네이드
58	Parts of me that never existed, you make come to life	없던 모습을 더 드러내
59	I’m putting my all in you	네게 내 모든걸 다 걸었네
60	Jumping up, my heart is covered with you	위로 Jumping 너로 덮인
61	I can’t handle it like pumping	맘은 주체가 안돼 마치 Pumping
62	I don’t care what you do	네가 뭘 하던 신경 안 써
63	My heart is already 100% you	이미 내 맘은 백 프로
64	I keep having color eye	난 계속 Color eye
0	A good break up	끝이 좋은 이별
1	There’s no such thing, that’s just hypocrisy	애초에 없어 그런 건 위선
2	The word itself, break up	이별이란 단어
3	It’s not good at all	그 말 하나로 좋지 않거든
4	What should I do? Teach me	어떻게 하면 돼 Teach me
5	Will you teach me? Tell me	자 가르쳐 줄래 Tell me
6	Should I just smile? How?	내가 웃으면 돼 그럼 어떻게 그럼
7	Tell me, what do I do?	말해 어쩌면 돼
8	Just saying it is not enough	말이면 다가 아냐
10	Let’s end this well	좋게 끝내
11	You said, but what do you mean, end?	말 하지만 끝내긴 뭘 끝내
12	The word itself, end, is not good at all	끝 낸단 말 자체가 안 좋은데
